Name,daily total trading volume,Prices,Volume,Ecology,Hyperlink,Project Description,Official Hyperlink List,Details,Founded Date,Funders,Related News Links,Twitter Hyperlink,Followers,Following,Significant Events,Similar Projects,AIScore,Explains
Bitcoin CashBCH,873.422,219.04,1841.38023,Ethereum,https://www.rootdata.com/Projects/detail/Shiba%20Inu?k=NjIw,Decentralized meme token,"https://shibatoken.com/, https://twitter.com/shibtoken, https://github.com/shytoshikusama/woofwoofpaper/raw/main/SHIBA_INU_WOOF_WOOF.pdf, https://coinmarketcap.com/currencies/shiba-inu/",Shiba Inu is a decentralized meme token that has evolved into a vibrant ecosystem.,2020,"Cypher Capital Group, Animoca Brands, Foresight Ventures, P2 Ventures, Shima Capital, Morningstar Ventures, Mechanism Capital, Kenetic Capital, Woodstock, Big Brain Holdings, Comma3 Ventures, Spirit DAO, Hercules Ventures, Stake Capital, Primal Capital, Illuminati Capital, ShibaSwap, Shibarium",,https://twitter.com/shibtoken,3.87 M,24,"Apr 22, 2024 - Shiba Inu raised $ 12 M in funding round","#PEPE, #Dogecoin, #Memeland, #FLOKI, #Kishu Inu, #Color Protocol, #HarryPotterObamaSonic10Inu, #BorpaToken",0.40447965,"{'feat0': {'feat': 'CDLMORNINGSTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDLMARUBOZU', 'data': [0.0]}, 'feat2': {'feat': 'ULTOSC', 'data': [0.5414528665403201]}, 'feat3': {'feat': 'Hourly', 'data': [0.0]}, 'feat4': {'feat': 'Month', 'data': [12.0]}, 'feat5': {'feat': 'PR_MA_Ratio', 'data': [-0.0026525198938966]}, 'feat6': {'feat': 'Z_score', 'data': [-0.5754580027393497]}, 'feat7': {'feat': 'PR_MA_Ratio_short', 'data': [0.0147361206305715]}, 'feat8': {'feat': 'RSI', 'data': [0.5504199951161226]}, 'feat9': {'feat': 'boll', 'data': [0.3294279404490003]}}"
Merit CircleBEAM,,1.3929,669785.22,,https://www.rootdata.com/Projects/detail/Avalanche?k=MjUw,Decentralized blockchain,"https://www.avalabs.org/, https://x.com/Avax, https://t.me/avalancheavax, https://github.com/ava-labs/avalanchego, https://www.avalabs.org/whitepapers, https://medium.com/avalancheavax, https://coinmarketcap.com/currencies/avalanche/, https://forum.avax.network/, https://defillama.com/chain/Avalanche","Avalanche is a platform created by Ava Labs for creating custom blockchain networks and decentralized applications (dApps). It claims great scalability, with a high transaction throughput (TPS) of 4500 transactions per second. Its novel consensus protocol, Subnet infrastructure, and HyperSDK toolkit enable Web3 developers to easily launch powerful, custom blockchain solutions.",2018,"Emin Gün Sirer, Kevin Sekniqi, John Wu, Chris Lavery, Devika Mittal, John Nahas, Ed Chang, Polychain, Three Arrows Capital, Andreessen Horowitz, Dragonfly, Delphi Digital, CMS Holdings, NGC Ventures, IOSG Ventures, Galaxy, Lemniscap, Placeholder, Collab+Currency, Republic Capital, Youbi Capital, Fundamental Labs, Bitmain, LayerZero, Securitize, Platypus Finance, Bloktopia, Trader Joe, MUA DAO, Crypto Rogue Games, DeGame, Trustless Media, TimeShuffle, Banger Games, Kyro, BEAM+ LAB, Imperium Empires",,,1.03 M,627,"Sep 16, 2021 - Avalanche raised $ 230 M | Sep 22, 2020 - Avalanche was live on mainnet | Jul 15, 2020 - Avalanche raised $ 42 M in Public Sale round | Jun 25, 2020 - Avalanche raised $ 12 M in Private round | Feb 01, 2019 - Avalanche raised $ 6 M in funding round","#Ethereum, #Solana, #Aleo, #Hedera, #ZetaChain, #Internet Computer / Dfinity, #Algorand, #Celo",0.5731734,"{'feat0': {'feat': 'CDLUPSIDEGAP2CROWS', 'data': [0.0]}, 'feat1': {'feat': 'CDLBELTHOLD', 'data': [0.0]}, 'feat2': {'feat': 'CDLHARAMICROSS', 'data': [0.0]}, 'feat3': {'feat': 'CDLMARUBOZU', 'data': [0.0]}, 'feat4': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat5': {'feat': 'Hourly', 'data': [0.0]}, 'feat6': {'feat': 'CDLRISEFALL3METHODS', 'data': [0.0]}, 'feat7': {'feat': 'Z_score', 'data': [-0.5397840638011119]}, 'feat8': {'feat': 'RSI', 'data': [0.5281283081545691]}, 'feat9': {'feat': 'boll', 'data': [0.3498488842623228]}}"
BitgetBGB,,,,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/Chainlink?k=MTg1,Oracle infrastructure,"https://chain.link/, https://x.com/chainlink, https://www.linkedin.com/company/chainlink-labs/, https://t.me/chainlinkofficial, https://github.com/smartcontractkit/chainlink, https://chain.link/whitepaper, https://medium.com/chainlink, https://coinmarketcap.com/currencies/chainlink/, https://www.coingecko.com/en/coins/chainlink","Chainlink provides smart contract developers with oracle infrastructure and tooling, which aims to provide reliable and accurate data for smart contracts running on blockchains.",2017,"Sergey Nazarov, Steve Ellis, Shuki Binyamin, Todd Barr, Johann Eid, Benedict Chan, Chirag Dhull, Patrick Young, Colin Cunningham, DLC.Link, Galaxis, Pop Social, ThirdFi, Hemera, Truflation, DECO, Rhombus",,https://x.com/chainlink,1.17 M,--,"May 30, 2019 - Chainlink was live on mainnet | Sep 20, 2017 - Chainlink raised $ 32 M through ICO","#Pyth Network, #RedStone, #DIA, #API3, #Supra, #Band Protocol, #SEDA, #Tellor",,
Binance.US,4285.83,1.7,649.12,,https://www.rootdata.com/Projects/detail/Bitcoin%20Cash?k=MjA0,Cryptocurrency that is a fork of Bitcoin,"https://gitlab.com/bitcoin-cash-node/, https://coinmarketcap.com/currencies/bitcoin-cash/","Bitcoin Cash is a cryptocurrency that intends to provide an alternative to Bitcoin. Launched in 2017, Bitcoin Cash was created by a group of Bitcoin users who disagreed with the roadmap proposed by the project's principal developer group, Bitcoin Core, and believed that different technical decisions were necessary to make Bitcoin available to a global audience.",2017,,"https://www.coingecko.com/learn/bitcoin-cash-bch, https://cointelegraph.com/news/bitcoin-cash-cashtokens-upgrade-on-its-network, https://coingeek.com/bch-forks-separating-bitcoin-abc-team-from-community/, https://cointelegraph.com/news/abc-vs-cv-assessing-the-consequences-of-the-bitcoin-cash-war",,,,,"#Bitcoin, #Litecoin, #Zcash, #Monero, #Bitcoin SV, #Verge, #FACT0RN, #Firo",0.32308188,"{'feat0': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat2': {'feat': 'Month', 'data': [12.0]}, 'feat3': {'feat': 'ULTOSC', 'data': [0.4464831328478291]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'PR_MA_Ratio', 'data': [-0.0077445951264405]}, 'feat6': {'feat': 'Z_score', 'data': [-0.6610906380134957]}, 'feat7': {'feat': 'PR_MA_Ratio_short', 'data': [-0.0037156343688203]}, 'feat8': {'feat': 'RSI', 'data': [0.4739759334578738]}, 'feat9': {'feat': 'boll', 'data': [0.211025032056308]}}"
BonkBONK,,,,,https://www.rootdata.com/Projects/detail/Polkadot?k=MTE4,Cross-chain protocol,"https://polkadot.network/, https://x.com/Polkadot, https://t.me/PolkadotOfficial, https://github.com/paritytech/polkadot, https://github.com/paritytech/polkadot, https://medium.com/polkadot-network, https://coinmarketcap.com/currencies/polkadot-new/","Polkadot is a cross-chain protocol designed to connect and secure different blockchains. It provides interconnectivity and interoperability between them, enabling independent chains to securely exchange messages and perform transactions without relying on a trusted third-party. This allows for cross-chain transfers of data or assets between different blockchains, as well as the development of cross-chain DApps (decentralized applications) using the Polkadot Network. The Web3 Foundation is responsible for building Polkadot.",Plasm,"Gavin Wood, Alice und Bob, Pantera Capital, Polychain, Shima Capital, Arrington Capital, NGC Ventures, IOSG Ventures, Fabric Ventures, CoinFund, Zee Prime Capital, GenBlock Capital, 1confirmation, D1 Ventures, Hash CIB, Fundamental Labs, Continue Capital, KR1","https://blockworks.co/news/polkadots-jam-now-set-to-unlock-new-horizon-of-opportunities, https://cryptoslate.com/polkadots-new-storagehub-parachain-targets-improved-data-storage-efficiency/, https://medium.com/polkadot-network/polkadot-2023-roundup-7fe77d88f022?source=rss----c4f9788290b0---4, https://thedefiant.io/polkadot-is-about-to-fundamentally-change-said-web3-foundation-s-new-ceo, https://forkast.news/parity-technologies-polkadot-blockchain-layoffs/, https://medium.com/polkadot-network/polkadot-2022-roundup-d98ccf69df50?source=rss-3e5a7d431699------2, https://medium.com/polkadot-network/polkadot-roadmap-roundup-4ee64577a9ae?source=rss----c4f9788290b0---4, https://messari.io/article/polkadot-ecosystem-overview?referrer=list-view",https://x.com/Polkadot,1.48 M,7,"Jul 28, 2020 - Polkadot raised $ 43.3 M in funding round | May 01, 2020 - Polkadot was live on mainnet | Oct 17, 2017 - Polkadot raised $ 140 M through ICO","#Ethereum, #Solana, #Conflux, #Aleo, #Anoma Network, #PlatON, #Concordium, #NYM",,
Breakout,,,,,https://www.rootdata.com/Projects/detail/Sui?k=Mjc5Nw%3D%3D,Layer 1 blockchain,"https://sui.io/, https://x.com/SuiNetwork, https://github.com/MystenLabs, https://docs.sui.io/, https://medium.com/mysten-labs, https://coinmarketcap.com/currencies/sui/, https://defillama.com/chain/Sui","Sui is a permissionless Layer 1 blockchain, designed from the ground up to enable creators and developers to build experiences that cater to the next billion users in Web3. It is horizontally scalable, enabling a wide range of application development with unrivaled speed and low cost.",2022,"Evan Cheng, Adeniyi Abiodun, George Danezis, Sam Blackshear, Han Liu, Sina Nader, Andreessen Horowitz, FTX Ventures, Coinbase Ventures, Binance Labs, The Spartan Group, Cypher Capital Group, Arrington Capital, Electric Capital, Bixin Ventures, Samsung Next, Lightspeed Venture, Standard Crypto, Ryze Labs, Big Brain Holdings, Finality Capital Partners, Jump Crypto, XOCIETY, Switchboard, Scallop, Elixir, NAVI Protocol, Baby Shark Universe, Cetus, Aether Games, Karrier One, Releap Protocol, MovEX, Ethos, Scale3 Labs, Gameplay Galaxy, Dust Labs, SuiNS, Panzerdogs / WAGMI, Obelisk, Stashed",,https://x.com/SuiNetwork,689.71 K,480,"Jul 18, 2023 - Sui announced changes to the token release table, no major unlocks until May 2024 | May 03, 2023 - Sui was live on mainnet | Mar 30, 2023 - Sui Launches Permanent Testnet | Sep 08, 2022 - Sui raised $ 300 M in Series B round | May 05, 2022 - Sui DevNet is LIVE","#Ethereum, #Solana, #Aleo, #Hedera, #ZetaChain, #Internet Computer / Dfinity, #Algorand, #Celo",,
BitcoinVM,,4349.99,82.088865,,https://www.rootdata.com/Projects/detail/Litecoin?k=Ng%3D%3D,P2P digital currency for online payments,"https://litecoin.org/, https://x.com/litecoin, https://telegram.me/litecoin, https://github.com/litecoin-project/litecoin, https://coinmarketcap.com/currencies/litecoin/","Litecoin is a peer-to-peer digital currency for online payments. It is a global payment network that is fully decentralized, without any central authorities. Mathematics secures the network and gives individuals the power to control their own finances. Litecoin has faster transaction confirmation times and improved storage efficiency than the leading math-based currency. With strong industry support, trade volume and liquidity, Litecoin is a proven medium of commerce that complements Bitcoin.",2010,Charlie Lee,"https://www.coindesk.com/tech/2023/08/02/litecoin-undergoes-third-halving-in-milestone-for-12-year-old-blockchain/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://cointelegraph.com/news/major-south-korean-crypto-exchanges-delist-litecoin, https://www.gemini.com/cryptopedia/litecoin-vs-bitcoin-blockchain, https://grayscale.com/learn/an-introduction-to-litecoin/",,1.05 M,21,"Oct 13, 2011 - Litecoin was live on mainnet","#Bitcoin, #Zcash, #Monero, #Bitcoin Cash, #Bitcoin SV, #Verge, #FACT0RN, #Firo",0.7307546,"{'feat0': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat1': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat2': {'feat': 'CDLPIERCING', 'data': [0.0]}, 'feat3': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'MA_Ratio', 'data': [0.0009094418128476]}, 'feat6': {'feat': 'MA_Ratio_short', 'data': [0.0003763297273033]}, 'feat7': {'feat': 'PR_MA_Ratio_short', 'data': [0.0363287945406691]}, 'feat8': {'feat': 'PR_MA_Ratio', 'data': [0.0367187958733152]}, 'feat9': {'feat': 'pct_change', 'data': [-0.0007376057759309]}}"
BitTorrentBTT,,0.0005482,67823526516,,https://www.rootdata.com/Projects/detail/NEAR%20Protocol?k=MjUx,Layer-one blockchain,"https://near.org/, https://x.com/NEARProtocol, https://t.me/cryptonear, https://github.com/nearprotocol/nearcore, https://github.com/near, https://medium.com/nearprotocol, https://coinmarketcap.com/currencies/near-protocol/, https://defillama.com/chain/Near","NEAR is a sharded, proof-of-stake, layer-one blockchain that aims to incentivize a network of computers to operate a platform for developers to create and launch decentralized applications. Central to its design is the concept of sharding, a process that splits the network's infrastructure into several segments so that nodes only have to handle a fraction of the network's transactions. The NEAR mainnet went live in August 2020.",2018,"Alexander Skidanov, Illia Polosukhin, Kendall Cole, Altan Tutar, Yulian, Andreessen Horowitz, Tiger Global, Accomplice, MetaStable Capital, Three Arrows Capital, Coinbase Ventures, Pantera Capital, Dragonfly, Amber Group, SevenX Ventures, Hack VC, Arrington Capital, Mechanism Capital, Hashed, Electric Capital, IOSG Ventures, Analog, Virtual Labs, KINO, Orange DAO, Mintbase, Itsmyne, idOS, Deepwaters, MetaWeb Ventures, Nuffle Labs, NEAR Foundation",,https://x.com/NEARProtocol,1.89 M,1340,"Apr 06, 2022 - NEAR Protocol raised $ 350 M in funding round | Jan 13, 2022 - NEAR Protocol raised $ 150 M in funding round | Oct 13, 2020 - NEAR Protocol was live on mainnet | May 04, 2020 - NEAR Protocol raised $ 21.6 M in funding round | Jul 10, 2019 - NEAR Protocol raised $ 12.1 M in funding round","#Ethereum, #Solana, #Aleo, #Hedera, #ZetaChain, #Internet Computer / Dfinity, #Algorand, #Celo",,
Bitcoin Virtual MachineBVM,,,,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/Uniswap?k=MjMz,Decentralized trading protocol,"https://uniswap.org/, https://x.com/Uniswap, https://www.linkedin.com/company/uniswaporg/, https://github.com/Uniswap, https://blog.uniswap.org/, https://snapshot.org/#/uniswap, https://coinmarketcap.com/currencies/uniswap/, https://gov.uniswap.org/, https://defillama.com/protocol/uniswap","The Uniswap is a decentralized exchange protocol that provides liquidity and facilitates the trading of tokens. It eliminates the need for trusted intermediaries and unnecessary forms of rent extraction, enabling safe, accessible, and efficient exchange activities.",2018,"Hayden Adams, Mary Catherine (MC) Lader, Marvin Ammori, Katherine Minarik, Chase Chapman, Noah Zinsmeister, Sarina Siddhanti, Lindsay Lamont, B. Salman Banaei, Andreessen Horowitz, Paradigm, Polychain, Coinbase Ventures, Variant Fund, ParaFi Capital, Union Square Ventures, Blockchain Capital, A.Capital, Ribbit Capital, SV Angel, Version One, Genie, Crypto: The Game, Genie, Crypto: The Game, Uniswap Ventures",,,1.29 M,103,"Jun 13, 2023 - Uniswap Releases Uniswap v4 Code Draft | Oct 13, 2022 - Uniswap raised $ 165 M in Series B round | May 06, 2021 - UniSwap V3 Goes Live on Mainnet | Aug 06, 2020 - Uniswap raised $ 11 M in Series A round | Apr 01, 2019 - Uniswap raised $ 1 M in Seed round","#1inch, #WOO Network, #Curve, #Kyber Network, #Balancer, #0x, #Bancor, #Rubic",,
ConfluxCFX,,1.369,17698976.11,,https://www.rootdata.com/Projects/detail/Aptos?k=Mjc5NQ%3D%3D,Scalable layer 1 blockchain,"https://aptoslabs.com/, https://x.com/Aptos, https://www.linkedin.com/company/aptoslabs/, https://github.com/aptos-labs, https://aptoslabs.medium.com/, https://coinmarketcap.com/currencies/aptos/, https://www.coingecko.com/en/coins/aptos, https://forum.aptoslabs.com/, https://defillama.com/chain/Aptos",Aptos is a safe and scalable layer 1 blockchain that aims to bring decentralized assets into the everyday lives of billions of users.,2021,"Mohammad Shaikh, Avery Ching, Ariana Gianacopoulos, Cathy Sun, Scott Nelson, Neil Harounian, Andreessen Horowitz, Jump Crypto, FTX Ventures, Binance Labs, Coinbase Ventures, Dragonfly, Multicoin Capital, Arrington Capital, Hashed, Bixin Ventures, Variant Fund, Superscrypt, ParaFi Capital, BlockTower Capital, Haun Ventures, Paxos, io.net, Securitize, Mountain Protocol, Movement, BlockGames, Pontem Network, Bastion, Chingari, Supervillain Labs, Merkle Trade, Sonarverse, Blackwing, Stan, Beluga, Nutrios, Martian",,https://x.com/Aptos,584.44 K,284,"Oct 17, 2022 - Aptos was live on mainnet | Sep 28, 2022 - Aptos completed a strategic financing | Jul 25, 2022 - Aptos raised $ 150 M in Series A round | Mar 28, 2022 - Aptos completed a strategic financing | Mar 15, 2022 - Aptos raised $ 200 M in strategic financing","#Ethereum, #Solana, #Aleo, #Hedera, #ZetaChain, #Internet Computer / Dfinity, #Algorand, #Celo",0.39851752,"{'feat0': {'feat': 'ULTOSC', 'data': [0.5852062434687986]}, 'feat1': {'feat': 'PR_MA_Ratio', 'data': [0.0260993922059094]}, 'feat2': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat3': {'feat': 'Z_score', 'data': [-0.6684139945029222]}, 'feat4': {'feat': 'MA_Ratio_short', 'data': [0.0180976216013143]}, 'feat5': {'feat': 'PR_MA_Ratio_short', 'data': [0.0078595317726107]}, 'feat6': {'feat': 'Month', 'data': [12.0]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'RSI', 'data': [0.5382206343148914]}, 'feat9': {'feat': 'boll', 'data': [0.0576741430494982]}}"
Core,,,,Ethereum,https://www.rootdata.com/Projects/detail/PEPE?k=NDE0Ng%3D%3D,Deflationary memecoin,"https://www.pepe.vip/, https://x.com/pepecoineth, https://t.me/pepecoineth, https://coinmarketcap.com/currencies/pepe/","PEPE is a deflationary memecoin launched on Ethereum. The cryptocurrency was created as a tribute to the Pepe the Frog internet meme, created by Matt Furie, which gained popularity in the early 2000s. The project aims to capitalize on the popularity of meme coins, like Shiba Inu and Dogecoin, and strives to establish itself as one of the top meme-based cryptocurrencies. PEPE appeals to the cryptocurrency community by instituting a no-tax policy, a redistributive system rewarding long-term stakers, and a burning mechanism to maintain scarcity of the PEPE coin.",2023,"Zachary Testa, Matt Furie","https://thedefiant.io/news/defi/pepe-dominates-memecoin-trading-on-ethereum, https://www.coindesk.com/markets/2024/03/04/pepecoin-becomes-biggest-meme-coin-gainer-as-doge-shib-rally-eases/, https://www.coindesk.com/business/2023/10/26/pepecoin-doubles-to-500m-market-cap-as-memecoin-fever-steals-bitcoins-etf-thunder/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://medium.com/bankless-dao/pepe-and-the-psychology-of-memes-2743b1449680?source=rss----2e8b6adb479c---4, https://www.coindesk.com/markets/2023/05/05/pepecoins-bewildering-rise-turned-a-pittance-into-an-almost-5000000-meme-coin-profit/, https://cointelegraph.com/news/pepe-memecoin-hits-1-billion-market-cap-fueled-by-binance-listing, https://decrypt.co/resources/what-is-pepecoin-pepe/",https://x.com/pepecoineth,677.08 K,5,,"#Dogecoin, #Memeland, #FLOKI, #Kishu Inu, #Color Protocol, #HarryPotterObamaSonic10Inu, #BorpaToken, #Shiba Inu",,
cryptonews24,,,,,https://www.rootdata.com/Projects/detail/Internet%20Computer%20-%20Dfinity?k=NzM%3D,Open-source blockchain network,"https://dfinity.org/, https://x.com/dfinity, https://t.me/DFinity, https://github.com/dfinity, https://dfinity.org/whitepaper.pdf, https://medium.com/dfinity, https://coinmarketcap.com/currencies/internet-computer/","The Internet Computer is a general-purpose blockchain to build the future of Web3. It scales smart contract computation, runs them at web speed, processes and stores data efficiently, and provides powerful software frameworks for developers.",2016,"Dominic Williams, Jan Camenisch, Michael Lee, Valeriy Zamaraiev, Andreessen Horowitz, Polychain, Hashed, IOSG Ventures, Fenbushi Capital, Multicoin Capital, CoinFund, Blockchain Capital, LongHash Ventures, KR1, Scalar Capital, DHVC, Redline Labs, SV Angel, Eterna Capital, Village Global","https://chainwire.org/2024/06/19/internet-computer-protocol-launches-walletless-verified-credentials-to-build-trust-in-the-public-discourse/, https://www.theblock.co/post/284854/dfinitys-internet-computer-community-committed-over-120-million-to-dapps-last-year, https://cointelegraph.com/news/dfinity-founder-blockchain-recycling-waste-management, https://www.accesswire.com/768996/Over-500-DFINITY-Developer-Grants-Disbursed-As-Internet-Computer-Attracts-Growing-Number-of-Web3-Developers, https://cointelegraph.com/news/internet-computer-as-key-alternative-to-aws-services, https://www.gemini.com/cryptopedia/the-internet-computer-icp-crypto-dfinity-icp-coin, https://medium.com/@defincidigital/dfinity-internet-computer-the-new-internet-paradigm-shift-b5e72fb60ce9, https://foresightventures.medium.com/dfinity-explained-serverless-blockchain-6766da343e32",https://x.com/dfinity,706.75 K,909,"May 10, 2021 - Internet Computer / Dfinity was live on mainnet | Aug 28, 2018 - Internet Computer / Dfinity raised $ 102 M in funding round | Feb 07, 2018 - Internet Computer / Dfinity raised $ 61 M in funding round | Jan 01, 2018 - Internet Computer / Dfinity raised $ 20.54 M in strategic financing | Feb 13, 2017 - Internet Computer / Dfinity raised $ 3.9 M through ICO","#Ethereum, #Solana, #Aleo, #Hedera, #ZetaChain, #Algorand, #Celo, #Espresso Systems",,
DogecoinDOGE,,0.0037379,1314756779,Polkadot,https://www.rootdata.com/Projects/detail/Bittensor?k=NjUyOA%3D%3D,Blockchain-based machine learning network,"https://bittensor.com/, https://x.com/bittensor_, https://www.linkedin.com/company/bittensor/, https://github.com/opentensor/BitTensor, https://docs.bittensor.com/, https://coinmarketcap.com/currencies/bittensor/","Bittensor is an open-source protocol that powers a decentralized, blockchain-based machine learning network. Machine learning models train collaboratively and are rewarded in TAO based on the informational value they provide to the collective. TAO also provides external access, allowing users to extract information from the network while customizing its activities to their needs. The ultimate goal is to create a pure market for artificial intelligence, an incentivized environment in which buyers and sellers of this valuable commodity can interact in a trustless, open, and transparent way.",2021,"Jacob Robert Steeves, Ala Shaabana, Garrett Oetken, Polychain, dao5, NGC Ventures","https://www.coindesk.com/tech/2024/07/03/bittensors-tao-slides-15-after-8m-wallet-drain-attack/, https://www.gate.io/learn/articles/what-is-bittensor-tao-how-does-it-make-ai-algorithms-composable/2062, https://www.dlnews.com/articles/defi/wrapped-tao-on-ethereum-soars-to-82m-but-its-all-controlled-by-one-person/, https://revelointel.substack.com/p/tao-and-crypto-ai-what-you-need-to, https://crypto.news/bittensor-tao-up-over-300-blockchain-ai-integrate/",,24.51 K,--,,"#Centrifuge, #Litentry, #Composable Finance, #Moonbeam, #CLV, #Acala, #Unique Network, #Astar",0.39446145,"{'feat0': {'feat': 'zsVol', 'data': [0.0165581961130804]}, 'feat1': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat2': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat3': {'feat': 'Hourly', 'data': [0.0]}, 'feat4': {'feat': 'ULTOSC', 'data': [0.5228238405916757]}, 'feat5': {'feat': 'PR_MA_Ratio', 'data': [0.1268276594965005]}, 'feat6': {'feat': 'Z_score', 'data': [-0.7857040796289063]}, 'feat7': {'feat': 'RSI', 'data': [0.6071545738165619]}, 'feat8': {'feat': 'MA_Ratio_short', 'data': [0.0885661751233434]}, 'feat9': {'feat': 'boll', 'data': [0.4171654610451136]}}"
PolkadotDOT,,3.1,6039881.97,,https://www.rootdata.com/Projects/detail/Fetch.ai?k=MTUw,Blockchain platform based on artificial intelligence and machine learning,"https://fetch.ai/, https://x.com/fetch_ai, https://t.me/fetch_ai, https://github.com/fetchai, https://docs.fetch.ai/, https://medium.com/fetch-ai, https://coinmarketcap.com/currencies/fetch/","Fetch.ai is an artificial intelligence and machine learning-based blockchain platform that enables anyone to share or exchange data. It is building an open-access, tokenized, and decentralized machine learning network to enable smart infrastructure built around a decentralized digital economy.",2017,"Humayun Sheikh, Outlier Ventures, DWF Labs, Blockwall, GDA Capital","https://thedefiant.io/fetch-singularitynet-and-ocean-to-merge-assets-and-forge-shared-tokenomic-network, https://cointelegraph.com/news/fetch-ai-announces-gpu-rewards-token-holders-after-100-million-infrastructure-investment, https://www.coindesk.com/business/2023/04/19/crypto-protocol-fetchai-introduces-ai-trading-tools-for-decentralized-exchanges/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://www.coindesk.com/business/2023/03/29/ai-focused-crypto-protocol-fetchai-raises-40m-to-deploy-decentralized-machine-learning/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://cryptopotato.com/bosch-and-fetch-ai-launch-100m-foundation-to-fuel-web3-adoption/, https://thegww.com/west-ham-united-announces-fetch-ai-as-their-official-artificial-intelligence-partner/, https://www.coindesk.com/business/2022/03/22/crypto-exchange-mexc-global-leads-150m-fetchai-development-fund-with-huobi-bybit/, https://www.gemini.com/cryptopedia/fetch-ai-crypto-fet-blockchain-machine-learning-fet-token",https://x.com/fetch_ai,237.59 K,676,"Mar 29, 2023 - Fetch.ai raised $ 40 M in funding round | Mar 10, 2021 - Fetch.ai raised $ 5 M in funding round | Jun 11, 2018 - Fetch.ai raised $ 15 M in Seed round","#0G, #Bittensor, #Masa, #Cortex, #VAIOT, #Galadriel, #Valyu Network, #Openfabric AI",0.6222297,"{'feat0': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat2': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat3': {'feat': 'ULTOSC', 'data': [0.5589875589875601]}, 'feat4': {'feat': 'MA_Ratio', 'data': [-0.0229687156568451]}, 'feat5': {'feat': 'Z_score', 'data': [-0.4818492046610037]}, 'feat6': {'feat': 'RSI', 'data': [0.5914762962043079]}, 'feat7': {'feat': 'zsVol', 'data': [-0.7015963113798099]}, 'feat8': {'feat': 'Hourly', 'data': [0.0]}, 'feat9': {'feat': 'boll', 'data': [0.5272772361051569]}}"
